pos_x,pos_y,pos_z,swing,arm,boom,bucket,trackRight,trackLeft
5.5167,-0.2376,0.0000,0.0000,50.2301,35.0000,0.0000,0.0000,0.0000
5.5167,-0.2376,0.0000,0.0000,50.2310,35.0000,0.0000,0.0000,0.0000
5.5168,-0.2375,0.0000,0.0000,50.2319,35.0000,0.0000,0.0000,0.0000
5.5168,-0.2375,0.0000,0.0000,50.2328,35.0000,0.0000,0.0000,0.0000
5.5169,-0.2375,0.0000,0.0000,50.2337,35.0000,0.0000,0.0000,0.0000
5.5169,-0.2375,0.0000,0.0000,50.2347,35.0000,0.0000,0.0000,0.0000
5.5169,-0.2375,0.0000,0.0000,50.2356,35.0000,0.0000,0.0000,0.0000
5.5170,-0.2375,0.0000,0.0000,50.2365,35.0000,0.0000,0.0000,0.0000
5.5170,-0.2375,0.0000,0.0000,50.2374,35.0000,0.0000,0.0000,0.0000
5.5171,-0.2375,0.0000,0.0000,50.2383,35.0000,0.0000,0.0000,0.0000
5.5171,-0.2375,0.0000,0.0000,50.2392,35.0000,0.0000,0.0000,0.0000
5.5172,-0.2375,0.0000,0.0000,50.2402,35.0000,0.0000,0.0000,0.0000
5.5172,-0.2375,0.0000,0.0000,50.2411,35.0000,0.0000,0.0000,0.0000
5.5173,-0.2375,0.0000,0.0000,50.2420,35.0000,0.0000,0.0000,0.0000
5.5173,-0.2375,0.0000,0.0000,50.2429,35.0000,0.0000,0.0000,0.0000
5.5174,-0.2375,0.0000,0.0000,50.2438,35.0000,0.0000,0.0000,0.0000
5.5174,-0.2374,0.0000,0.0000,50.2447,35.0000,0.0000,0.0000,0.0000
5.5175,-0.2374,0.0000,0.0000,50.2456,35.0000,0.0000,0.0000,0.0000
5.5175,-0.2374,0.0000,0.0000,50.2466,35.0000,0.0000,0.0000,0.0000
5.5175,-0.2374,0.0000,0.0000,50.2475,35.0000,0.0000,0.0000,0.0000
5.5176,-0.2374,0.0000,0.0000,50.2484,35.0000,0.0000,0.0000,0.0000
5.5176,-0.2374,0.0000,0.0000,50.2493,35.0000,0.0000,0.0000,0.0000
5.5177,-0.2374,0.0000,0.0000,50.2503,35.0000,0.0000,0.0000,0.0000
5.5177,-0.2374,0.0000,0.0000,50.2512,35.0000,0.0000,0.0000,0.0000
5.5178,-0.2374,0.0000,0.0000,50.2521,35.0000,0.0000,0.0000,0.0000
5.5178,-0.2374,0.0000,0.0000,50.2530,35.0000,0.0000,0.0000,0.0000
5.5179,-0.2374,0.0000,0.0000,50.2539,35.0000,0.0000,0.0000,0.0000
5.5179,-0.2374,0.0000,0.0000,50.2549,35.0000,0.0000,0.0000,0.0000
5.5180,-0.2374,0.0000,0.0000,50.2558,35.0000,0.0000,0.0000,0.0000
5.5180,-0.2374,0.0000,0.0000,50.2567,35.0000,0.0000,0.0000,0.0000
5.5181,-0.2373,0.0000,0.0000,50.2576,35.0000,0.0000,0.0000,0.0000
5.5181,-0.2373,0.0000,0.0000,50.2585,35.0000,0.0000,0.0000,0.0000
5.5182,-0.2373,0.0000,0.0000,50.2594,35.0000,0.0000,0.0000,0.0000
5.5182,-0.2373,0.0000,0.0000,50.2604,35.0000,0.0000,0.0000,0.0000
5.5182,-0.2373,0.0000,0.0000,50.2613,35.0000,0.0000,0.0000,0.0000
5.5183,-0.2373,0.0000,0.0000,50.2622,35.0000,0.0000,0.0000,0.0000
5.5183,-0.2373,0.0000,0.0000,50.2631,35.0000,0.0000,0.0000,0.0000
5.5184,-0.2373,0.0000,0.0000,50.2640,35.0000,0.0000,0.0000,0.0000
5.5184,-0.2373,0.0000,0.0000,50.2649,35.0000,0.0000,0.0000,0.0000
5.5185,-0.2373,0.0000,0.0000,50.2658,35.0000,0.0000,0.0000,0.0000
5.5185,-0.2373,0.0000,0.0000,50.2668,35.0000,0.0000,0.0000,0.0000
5.5186,-0.2373,0.0000,0.0000,50.2677,35.0000,0.0000,0.0000,0.0000
5.5186,-0.2373,0.0000,0.0000,50.2686,35.0000,0.0000,0.0000,0.0000
5.5187,-0.2373,0.0000,0.0000,50.2695,35.0000,0.0000,0.0000,0.0000
5.5187,-0.2372,0.0000,0.0000,50.2704,35.0000,0.0000,0.0000,0.0000
5.5188,-0.2372,0.0000,0.0000,50.2714,35.0000,0.0000,0.0000,0.0000
5.5188,-0.2372,0.0000,0.0000,50.2723,35.0000,0.0000,0.0000,0.0000
5.5188,-0.2372,0.0000,0.0000,50.2732,35.0000,0.0000,0.0000,0.0000
5.5189,-0.2372,0.0000,0.0000,50.2741,35.0000,0.0000,0.0000,0.0000
5.5189,-0.2372,0.0000,0.0000,50.2750,35.0000,0.0000,0.0000,0.0000
5.5190,-0.2372,0.0000,0.0000,50.2759,35.0000,0.0000,0.0000,0.0000
5.5190,-0.2372,0.0000,0.0000,50.2768,35.0000,0.0000,0.0000,0.0000
5.5191,-0.2372,0.0000,-0.1918,50.2778,35.0000,0.0000,0.0000,0.0000
5.5191,-0.2372,0.0000,-0.3917,50.2787,35.0000,0.0000,0.0000,0.0000
5.5192,-0.2372,0.0000,-0.5918,50.2796,35.0000,0.0000,0.0000,0.0000
5.5192,-0.2372,0.0000,-0.7918,50.2805,35.0000,0.0000,0.0000,0.0000
5.5193,-0.2372,0.0000,-0.9917,50.2814,35.0000,0.0000,0.0000,0.0000
5.5193,-0.2371,0.0000,-1.1916,50.2824,35.0000,0.0000,0.0000,0.0000
5.5194,-0.2371,0.0000,-1.3914,50.2833,35.0000,0.0000,0.0000,0.0000
5.5194,-0.2371,0.0000,-1.5914,50.2842,35.0000,0.0000,0.0000,0.0000
5.5195,-0.2268,0.0000,-1.7914,50.2767,35.1074,0.0000,0.0000,0.0000
5.5195,-0.2118,0.0000,-1.9914,50.2662,35.2640,0.0000,0.0000,0.0000
5.5196,-0.1968,0.0000,-2.1914,50.2564,35.4206,0.0000,0.0000,0.0000
5.5197,-0.1818,0.0000,-2.3914,50.2475,35.5772,0.0000,0.0000,0.0000
5.5197,-0.1668,0.0000,-2.5914,50.2394,35.7337,0.0000,0.0000,0.0000
5.5198,-0.1518,0.0000,-2.7914,50.2321,35.8901,0.0000,0.0000,0.0000
5.5199,-0.1368,0.0000,-2.9914,50.2257,36.0465,0.0000,0.0000,0.0000
5.5199,-0.1218,0.0000,-3.1914,50.2200,36.2028,0.0000,0.0000,0.0000
5.5200,-0.1068,0.0000,-3.3914,50.2151,36.3591,0.0000,0.0000,0.0000
